n,L,seed,algoritmo,valor,peso,tempo_ms,memoria_kb,razao_aprox
10,69,0,DP-LinearSpace (Letra B),379,0,0,0,1,0000
10,69,0,DP-MatrizCompleta (Letra C),379,64,0,3,1,0000
30,210,0,DP-LinearSpace (Letra B),1032,0,0,0,1,0000
30,210,0,DP-MatrizCompleta (Letra C),1032,210,0,25,1,0000
100,650,0,DP-LinearSpace (Letra B),3650,0,1,2,1,0000
100,650,0,DP-MatrizCompleta (Letra C),3650,650,2,256,1,0000
300,1963,0,DP-LinearSpace (Letra B),10990,0,1,7,1,0000
300,1963,0,DP-MatrizCompleta (Letra C),10990,1963,2,2309,1,0000
500,3428,0,DP-LinearSpace (Letra B),18025,0,5,13,1,0000
500,3428,0,DP-MatrizCompleta (Letra C),18025,3428,1,6710,1,0000
1000,6749,0,DP-LinearSpace (Letra B),35283,0,11,26,1,0000
1000,6749,0,DP-MatrizCompleta (Letra C),35283,6749,30,26393,1,0000
2000,13784,0,DP-LinearSpace (Letra B),71877,0,18,53,1,0000
2000,13784,0,DP-MatrizCompleta (Letra C),71877,13784,57,107749,1,0000
5000,33870,0,DP-LinearSpace (Letra B),180338,0,42,132,1,0000
5000,33870,0,DP-MatrizCompleta (Letra C),180338,33870,461,661675,1,0000
10000,67790,0,DP-LinearSpace (Letra B),357503,0,166,264,1,0000
10000,67790,0,DP-MatrizCompleta (Letra C),357503,67790,2768,2648350,1,0000
